ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1131014,241103-0317,1200 BLOCK PALAMEA LN,Honolulu_PD_HI_7493562,"Honolulu PD, HI",11/03/2024 05:55:59 AM,WEAPONS,M,100,L,"1200 BLOCK PALAMEA LN Honolulu, HI",NA,NA
1132703,241104-0821,900 BLOCK BISHOP ST,Honolulu_PD_HI_7497009,"Honolulu PD, HI",11/04/2024 11:23:16 AM,FRAUD,M,100,R,"900 BLOCK BISHOP ST Honolulu, HI",NA,NA
1132747,241104-0814,700 BLOCK ALA MOANA BLVD,Honolulu_PD_HI_7496999,"Honolulu PD, HI",11/04/2024 11:18:07 AM,VANDALISM,M,87,R,"700 BLOCK ALA MOANA BLVD Honolulu, HI",NA,NA
1132748,241104-0817,200 BLOCK HAKUONE ST,Honolulu_PD_HI_7497006,"Honolulu PD, HI",11/04/2024 11:21:37 AM,VEHICLE BREAK-IN/THEFT,M,100,L,"200 BLOCK HAKUONE ST Honolulu, HI",NA,NA
1132749,241104-0832,200 BLOCK MAKEE RD,Honolulu_PD_HI_7497029,"Honolulu PD, HI",11/04/2024 11:28:01 AM,THEFT/LARCENY,M,100,L,"200 BLOCK MAKEE RD Honolulu, HI",NA,NA
1133150,241106-0576,2400 BLOCK KANEALII AVE,Honolulu_PD_HI_7503110,"Honolulu PD, HI",11/06/2024 09:25:34 AM,THEFT/LARCENY,M,100,L,"2400 BLOCK KANEALII AVE Honolulu, HI",NA,NA
1133428,241106-0607,911700 BLOCK FORT WEAVER RD,Honolulu_PD_HI_7503165,"Honolulu PD, HI",11/06/2024 09:46:39 AM,FRAUD,M,100,L,"911700 BLOCK FORT WEAVER RD Honolulu, HI",NA,NA
1133466,241106-0603,800 BLOCK S BERETANIA ST,Honolulu_PD_HI_7503159,"Honolulu PD, HI",11/06/2024 09:44:15 AM,FRAUD,M,100,R,"800 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1133539,241106-0572,1400 BLOCK FRANK ST,Honolulu_PD_HI_7503077,"Honolulu PD, HI",11/06/2024 09:16:09 AM,THEFT/LARCENY,M,100,R,"1400 BLOCK FRANK ST Honolulu, HI",NA,NA
1133736,241107-0889,300 BLOCK RODGERS BLVD,Honolulu_PD_HI_7506945,"Honolulu PD, HI",11/07/2024 12:09:57 PM,THEFT/LARCENY,M,100,L,"300 BLOCK RODGERS BLVD Honolulu, HI",21.3326968,-157.9198491
1134040,241107-0854,800 BLOCK S BERETANIA ST,Honolulu_PD_HI_7506883,"Honolulu PD, HI",11/07/2024 11:52:21 AM,FRAUD,M,100,R,"800 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1134119,241107-0542,300 BLOCK KEAHOLE ST,Honolulu_PD_HI_7506337,"Honolulu PD, HI",11/07/2024 09:05:52 AM,THEFT/LARCENY,M,100,R,"300 BLOCK KEAHOLE ST Honolulu, HI",21.285976,-157.7074145
1134758,241103-0132,1000 BLOCK TENNESSEE ST,Honolulu_PD_HI_7493286,"Honolulu PD, HI",11/03/2024 01:51:03 AM,VANDALISM,M,100,R,"1000 BLOCK TENNESSEE ST Honolulu, HI",NA,NA
